record_type,from_stop-to_stop,time_ver_0,time_ver_1,time_ver_2,time_ver_3,distance_km,from_stop,to_stop
D,aducpp-apggar,36,36,36,36,35.116,aducpp,apggar
D,aducpp-gnggar,18,18,18,18,13.0,aducpp,gnggar
D,aducpp-gngied,11,11,11,11,9.3,aducpp,gngied
D,aducpp-lekgar,24,24,24,24,20.5,aducpp,lekgar
D,aducpp-mnzsch,25,25,25,25,17.2,aducpp,mnzsch
D,aducpp-wsmsta,30,30,30,30,28.0,aducpp,wsmsta
D,aducpp-zkpgar,30,30,30,30,23.0,aducpp,zkpgar
D,aduhee-burkee,20,20,20,20,18.0,aduhee,burkee
D,aduhee-eruhav,18,18,18,18,15.0,aduhee,eruhav
D,aduhee-gkkwie,12,12,12,12,11.0,aduhee,gkkwie
D,aduhee-gngcs,14,14,14,14,11.0,aduhee,gngcs
D,aduhee-gngemm,14,14,14,14,11.0,aduhee,gngemm
D,aduhee-gnggar,18,18,18,18,13.0,aduhee,gnggar
D,aduhee-gngied,11,11,11,11,9.3,aduhee,gngied
D,aduhee-gngzui,14,14,14,14,11.0,aduhee,gngzui
D,aduhee-gtgraa,15,15,15,15,13.0,aduhee,gtgraa
D,aduhee-gtgwee,15,15,15,15,13.0,aduhee,gtgwee
D,aduhee-klmnij,25,25,25,25,23.0,aduhee,klmnij
D,aduhee-klptre,25,25,25,25,23.0,aduhee,klptre
D,aduhee-lnskrk,20,20,20,20,16.0,aduhee,lnskrk
D,aduhee-lnszwe,20,20,20,20,16.0,aduhee,lnszwe
D,aduhee-nhvker,15,15,15,15,10.0,aduhee,nhvker
D,aduhee-nzlbom,10,10,10,10,9.0,aduhee,nzlbom
D,aduhee-ohvnie,13,13,13,13,9.0,aduhee,ohvnie
D,aduhee-okksch,10,10,10,10,8.0,aduhee,okksch
D,aduhee-shvgar,33,33,33,33,23.0,aduhee,shvgar
D,aduhee-shvtor,27,27,27,27,23.0,aduhee,shvtor
D,aduhee-wdhroc,16,16,16,16,13.0,aduhee,wdhroc
D,aduhee-zhnzon,6,6,6,6,4.0,aduhee,zhnzon
D,aduhee-zkpgar,30,30,30,30,23.0,aduhee,zkpgar
D,agsdri-drabus,19,19,19,19,15.0,agsdri,drabus
D,ajmnww-dkmbus,12,12,12,12,10.8,ajmnww,dkmbus
D,ajmsin-dkmbuf,12,12,12,12,10.0,ajmsin,dkmbuf
D,ajmsin-dkmbus,12,12,12,12,10.0,ajmsin,dkmbus
D,ajmsin-dkmgar,12,12,12,12,10.0,ajmsin,dkmgar
D,akmhee-lwdbuf,26,26,26,26,25.0,akmhee,lwdbuf
D,akmhee-lwdgan,26,26,26,26,25.0,akmhee,lwdgan
D,akmhee-lwdns,26,26,26,26,25.0,akmhee,lwdns
D,akmsta-akmtsj,1,1,1,1,0.5,akmsta,akmtsj
D,akmtsj-akmsta,1,1,1,1,0.5,akmtsj,akmsta
D,altvee-bgrrot,27,27,27,27,24.0,altvee,bgrrot
D,altvee-blwrei,27,27,27,27,18.0,altvee,blwrei
D,altvee-gngbus,40,40,40,40,38.0,altvee,gngbus
D,altvee-gngcs,40,40,40,40,38.0,altvee,gngcs
D,altvee-kuduls,28,28,28,28,23.0,altvee,kuduls
D,altvee-mskbru,20,20,20,20,17.0,altvee,mskbru
D,altvee-mskijz,20,20,20,20,17.0,altvee,mskijz
D,altvee-npkrub,7,7,7,7,5.0,altvee,npkrub
D,altvee-sknbus,15,15,15,15,9.0,altvee,sknbus
D,altvee-skngar,13,13,13,13,8.0,altvee,skngar
D,altvee-sknmaa,15,15,15,15,10.0,altvee,sknmaa
D,altvee-vdmaqu,20,20,20,20,10.0,altvee,vdmaqu
D,altvee-vdmbus,20,20,20,20,10.0,altvee,vdmbus
D,altvee-vdmgar,17,17,17,17,12.0,altvee,vdmgar
D,altvee-vdmsta,18,18,18,18,8.0,altvee,vdmsta
D,altvee-vlvspo,20,20,20,20,13.0,altvee,vlvspo
D,altvee-vwdmar,12,12,12,12,8.0,altvee,vwdmar
D,altvee-wscgar,25,25,25,25,15.0,altvee,wscgar
D,altvee-wscns,20,20,20,20,15.0,altvee,wscns
D,altvee-wscpos,17,17,17,17,16.0,altvee,wscpos
D,annew-emngar,45,45,45,45,37.0,annew,emngar
D,annew-gngcs,27,27,27,27,26.0,annew,gngcs
D,annew-gnggar,27,27,27,27,26.0,annew,gnggar
D,annew-skngar,30,30,30,30,24.0,annew,skngar
D,annew-vdmgar,25,25,25,25,24.0,annew,vdmgar
D,annhun-asnbus,17,17,17,17,15.0,annhun,asnbus
D,annhun-asngar,24,24,24,24,17.5,annhun,asngar
D,annhun-emngar,48,48,48,48,38.0,annhun,emngar
D,annhun-gngcs,30,30,30,30,23.0,annhun,gngcs
D,annhun-gnggar,30,30,30,30,23.0,annhun,gnggar
D,annhun-gngied,26,26,26,26,26.0,annhun,gngied
D,annhun-sknbus,30,30,30,30,24.0,annhun,sknbus
D,annhun-skngar,30,30,30,30,24.0,annhun,skngar
D,annhun-vdmbus,20,20,20,20,14.0,annhun,vdmbus
D,annhun-vdmgar,25,25,25,25,24.0,annhun,vdmgar
D,annhun-vdmsta,22,22,22,22,12.0,annhun,vdmsta
D,annmar-asnbus,17,17,17,17,15.0,annmar,asnbus
D,annmar-asngar,24,24,24,24,17.5,annmar,asngar
D,annmar-asnmlk,27,27,27,27,15.0,annmar,asnmlk
D,annmar-asntor,25,25,25,25,24.0,annmar,asntor
D,annmar-bdmmad,18,18,18,18,13.0,annmar,bdmmad
D,annmar-bgrrot,13,13,13,13,12.0,annmar,bgrrot
D,annmar-dpubus,15,15,15,15,15.0,annmar,dpubus
D,annmar-dpunor,15,15,15,15,15.0,annmar,dpunor
D,annmar-eelair,15,15,15,15,15.0,annmar,eelair
