record_type,line_number,trip_number,from_stop,start_time_min,end_time_min,to_stop,distance_km
T,G502,21,gngprr,938,968,gngest,9.225
T,G502,22,gngprr,968,998,gngest,9.225
T,G502,23,gngprr,998,1028,gngest,9.225
T,G502,24,gngprr,1028,1058,gngest,9.225
T,G502,25,zhnsta,1056,1100,gngest,18.12
T,G502,26,gngprr,1088,1118,gngest,9.225
T,G502,41,zhnsta,906,948,gngest,18.058
T,G502,42,zhnsta,936,978,gngest,18.058
T,G502,43,zhnsta,966,1008,gngest,18.058
T,G502,44,zhnsta,996,1038,gngest,18.058
T,G502,45,zhnsta,1026,1070,gngest,18.12
T,G502,46,gngprr,1058,1088,gngest,9.225
T,G502,47,zhnsta,1086,1128,gngest,18.058
T,G502,48,gngprr,1142,1167,gngest,9.225
T,G502,49,gngprr,1172,1197,gngest,9.225
T,G502,50,gngprr,1202,1227,gngest,9.225
T,G502,51,gngprr,1232,1257,gngest,9.225
T,G502,52,gngprr,1262,1287,gngest,9.225
T,G502,1001,gngprr,387,412,gngest,9.225
T,G502,1003,gngprr,415,440,gngest,9.225
T,G502,1005,zhnsta,426,464,gngest,18.058
T,G502,1007,gngprr,458,487,gngest,9.225
T,G502,1009,zhnsta,456,497,gngest,18.058
T,G502,1011,gngprr,488,517,gngest,9.225
T,G502,1013,zhnsta,486,527,gngest,18.058
T,G502,1015,gngprr,518,547,gngest,9.225
T,G502,1017,zhnsta,516,557,gngest,18.058
T,G502,1019,gngprr,548,577,gngest,9.225
T,G502,1021,zhnsta,546,587,gngest,18.058
T,G502,1023,gngprr,578,607,gngest,9.225
T,G502,1025,zhnsta,576,617,gngest,18.058
T,G502,1027,gngprr,608,637,gngest,9.225
T,G502,1029,zhnsta,606,647,gngest,18.058
T,G502,1031,gngprr,638,667,gngest,9.225
T,G502,1033,zhnsta,636,677,gngest,18.058
T,G502,1035,gngprr,668,697,gngest,9.225
T,G502,1037,zhnsta,666,707,gngest,18.058
T,G502,1039,gngprr,698,727,gngest,9.225
T,G502,1041,zhnsta,696,737,gngest,18.058
T,G502,1043,gngprr,728,757,gngest,9.225
T,G502,1045,zhnsta,726,767,gngest,18.058
T,G502,1047,gngprr,758,787,gngest,9.225
T,G502,1049,zhnsta,756,798,gngest,18.058
T,G502,1051,gngprr,788,818,gngest,9.225
T,G502,1053,zhnsta,786,828,gngest,18.058
T,G502,1055,gngprr,818,848,gngest,9.225
T,G502,1057,zhnsta,816,858,gngest,18.058
T,G502,1059,gngprr,848,878,gngest,9.225
T,G502,1061,zhnsta,846,888,gngest,18.058
