C;c:\optibus\gn_elec345.txt
V;GD345;1;GD20b;1
H;10001010;;Zonegrens 1000 1010;234932.2;583661.2
H;10001015;;Zonegrens 1000 1015;234935.3;583659.6
H;10004012;;Zonegrens 1000 1012;230469.0;579789.3
H;10005890;gngumn;Groningen, UMCG Noord;233987.4;582542.5
H;10005900;;Groningen, W. van Doeverenplein;234094.3;582877.3
H;10005910;;Groningen, Kranenburg;231256.6;580304.5
H;10005920;;Groningen, Kranenburg;231221.7;580262.8
H;10005950;;Groningen, Oostersingel;234280.0;582297.6
H;10005960;;Groningen, Oostersingel;234300.2;582266.0
H;10005990;gngumn;Groningen, UMCG Noord;233966.5;582479.8
H;10006010;;Groningen, Oliemuldersbrug;234638.9;583428.1
H;10006020;;Groningen, Oliemuldersbrug;234683.8;583456.0
H;10006030;gngzaa;Groningen, Zaagmuldersbrug;234280.2;583146.2
H;10006040;gngzaa;Groningen, Zaagmuldersbrug;234319.0;583169.8
H;10006060;;Groningen, W. van Doeverenplein;234078.3;582914.9
H;10006070;gngumn;Groningen, UMCG Noord;234018.0;582506.2
H;10006090;gngumc;Groningen, UMCG Hoofdingang;234442.6;582218.3
H;10006100;gngumc;Groningen, UMCG Hoofdingang;234516.0;582249.0
H;10006270;gnggma;Groningen, Grote Markt;233858.0;582067.4
H;10006280;gnggma;Groningen, Grote Markt;233863.8;582067.3
H;10006290;gnggma;Groningen, Grote Markt;233885.4;581980.0
H;10006411;gngkvb;Groningen, v K. Verschuurbrug;233696.6;579140.2
H;10006420;gngkvb;Groningen, v. K. Verschuurbrug;233636.3;579063.0
H;10007160;;Groningen, Eemsgolaan;230508.9;579880.9
H;10007170;;Groningen, Eemsgolaan;230520.2;579885.3
H;10007185;gngbpw;Groningen, Bedrijven Peizerweg;232280.0;580743.0
H;10007195;gngbpw;Groningen, Bedrijven Peizerweg;232289.0;580743.0
H;10007210;gngver;Groningen, Verzetsstrijderslaan;232695.0;580939.5
