C;c:\optibus\bru_elec_qlink.txt
V;378_2020;1;nwe_gar;1
H;50000030;utrgra;Utrecht, Graadt van Roggenweg;135317.2;455439.7
H;50000034;;BRUGDUMMY Utrecht, David van Mollembrug;136119.4;456976.5
H;50000040;utrgra;Utrecht, Graadt van Roggenweg;135389.3;455555.8
H;50000122;utrcsw;Utrecht, CS Jaarbeurszijde (Perron C3);135941.6;455661.8
H;50000130;utrcw9;Utrecht, CS Jaarbeurszijde (Perron D1);135915.0;455644.3
H;50000131;utrcw9;Utrecht, CS Jaarbeurszijde (Perron D2);135921.0;455611.0
H;50000132;utrcw9;Utrecht, CS Jaarbeurszijde (Perron D3);135957.7;455575.0
H;50000133;utrcw9;Utrecht, CS Jaarbeurszijde (Perron D4);135964.8;455531.5
H;50000140;utrwes;Utrecht, P+R Westraven;135772.3;452113.2
H;50000160;utrvre;Utrecht, Daalsesingel;136069.1;456130.9
H;50000189;;DUMMYHALTE Utrecht, .;136069.1;456130.9
H;50000190;utrvre;Utrecht, Daalsesingel;136084.2;456139.9
H;50000201;utrcsc;Utrecht, CS Centrumzijde (Perron A2);136067.5;455811.2
H;50000202;utrcsc;Utrecht, CS Centrumzijde (Perron A1);136075.8;455800.1
H;50000220;;Utrecht, Willem Dreeslaan;136333.0;457442.0
H;50000360;utrneu;Utrecht, Neude;136540.7;456161.2
H;50000370;utrjkh;Utrecht, Janskerkhof;136879.2;456131.0
H;50000390;utrdrw;Utrecht, Draaiweg;136312.0;457048.3
H;50000400;utrdrw;Utrecht, Draaiweg;136348.0;457054.6
H;50000410;utrher;Utrecht, Herenweg;135850.4;456492.1
H;50000420;utrher;Utrecht, Herenweg;135850.7;456466.3
H;50000430;;Utrecht, Viaduct;135557.1;456762.7
H;50000440;;Utrecht, Viaduct;135630.7;456669.2
H;50000450;utrcon;Utrecht, Concordiastraat;135213.7;457083.5
H;50000460;utrcon;Utrecht, Concordiastraat;135239.7;457035.1
H;50000470;;Utrecht, Watertoren;134961.5;457319.0
H;50000480;;Utrecht, Watertoren;134999.9;457264.8
H;50000520;utrmar;Utrecht, Marnixlaan;134714.8;457545.1
H;50000530;utrnij;Utrecht, Nijenoord;135699.0;457229.0
H;50000540;utrnij;Utrecht, Nijenoord;135722.0;457245.0
H;50000570;;Utrecht, David van Mollemstraat;135983.4;456936.3
H;50000670;;BRUGDUMMY Utrecht, David van Mollembrug;136130.4;456991.9
H;50000680;utroor;Utrecht, Oorsprongpark (Perron C);137961.8;456334.6
H;50001350;;Utrecht, Tolsteegplantsoen;136890.9;454211.7
H;50001360;;Utrecht, Tolsteegplantsoen;136902.9;454174.7
H;50001370;utrvon;Utrecht, Station Vaartsche Rijn;136725.3;454500.9
H;50001380;utrvon;Utrecht, Station Vaartsche Rijn;136742.7;454504.1
H;50001450;utrjac;Utrecht, Sint Jacobsstraat;136312.1;456243.7
H;50001460;utrjac;Utrecht, Sint Jacobsstraat;136316.0;456280.0
H;50001470;;Utrecht, Oudenoord;136125.0;456690.0
H;50001480;;Utrecht, Oudenoord;136083.2;456740.3
H;50001490;;Utrecht, David van Mollemstraat;135932.0;456881.0
H;50001500;;Utrecht, David van Mollemstraat;135924.0;456966.0
H;50002128;utrvas;Utrecht, Vasco da Gamalaan;135097.4;453171.5
H;50002129;utrvas;Utrecht, Vasco da Gamalaan;135101.1;453184.3
H;50002190;;BRUGDUMMY Utrecht, Vondelbrug;136803.4;454455.0
H;50002270;;Utrecht, Van Heuven Goedhartlaan;134684.1;454540.1
H;50002280;;Utrecht, Van Heuven Goedhartlaan;134647.5;454505.4
H;50002290;utrpel;Utrecht, Peltlaan;134435.3;454401.1
H;50002300;utrpel;Utrecht, Peltlaan;134402.4;454375.5
H;50002510;;Utrecht, Ravellaan;135062.7;455229.9
H;50002530;utrodo;Utrecht, Overste den Oudenlaan;135154.9;455023.9
H;50002540;utrodo;Utrecht, Overste den Oudenlaan;135165.0;455189.6
H;50002550;utrbij;Utrecht, Van Bijnkershoeklaan;134967.6;454702.9
H;50002560;utrbij;Utrecht, Van Bijnkershoeklaan;135062.7;454750.5
H;50002590;utrmap;Utrecht, Marco Pololaan;134956.6;453732.5
H;50002600;utrmap;Utrecht, Marco Pololaan;135015.1;453673.7
H;50002610;;Utrecht, Columbuslaan/Afrikalaan;134921.8;453475.1
H;50002620;;Utrecht, Columbuslaan/Afrikalaan;134952.9;453453.2
H;50002650;utrazi;Utrecht, Aziëlaan;135267.5;452863.2
H;50002660;utrazi;Utrecht, Aziëlaan;135234.6;452954.7
H;50002680;;Utrecht, Zeelantlaan;135362.6;452741.4
H;50003030;utrrob;Utrecht, Robijnlaan;137300.5;453777.7
H;50003040;utrrob;Utrecht, Robijnlaan;137319.1;453834.3
H;50003050;;Utrecht, Slotlaan;137297.7;453560.4
H;50003060;;Utrecht, Slotlaan;137291.3;453544.6
H;50003070;;Utrecht, Brennerbrug;137410.6;453300.3
H;50003080;;Utrecht, Brennerbrug;137418.2;453309.0
H;50003090;;Utrecht, Dolomieten;137499.9;452804.6
H;50003100;;Utrecht, Dolomieten;137521.7;452852.5
H;50003110;utrsim;Utrecht, Simplonbaan;137486.8;452394.7
H;50003120;utrsim;Utrecht, Simplonbaan;137503.2;452389.3
H;50003130;;Utrecht, De Koppel;137782.3;452286.4
H;50003140;;Utrecht, De Koppel;137769.2;452292.1
H;50003150;;Utrecht, Sleeswijk;137927.4;452504.2
H;50003160;;Utrecht, Sleeswijk;137921.6;452479.7
H;50003170;;Utrecht, Betuwe;137940.9;452810.6
H;50003180;;Utrecht, Betuwe;137964.6;452879.1
H;50003330;utrvdb;Utrecht, Vredenburg;136208.0;456113.0
H;50003340;utrvdb;Utrecht, Vredenburg;136269.0;456129.0
H;50003350;utrsch;Utrecht, Stadsschouwburg;137139.3;456110.4
H;50003360;utrneu;Utrecht, Neude;136495.0;456167.8
H;50003370;utrjkh;Utrecht, Janskerkhof;136814.7;456130.0
H;50003610;;Utrecht, Anton Geesinkstraat;135686.0;457538.0
H;50003620;;Utrecht, Anton Geesinkstraat;135686.0;457521.0
H;50003630;utrond;Utrecht, Ondiep;135439.0;457685.0
H;50003640;utrond;Utrecht, Ondiep;135498.0;457631.0
H;50003660;utrhoo;Utrecht, Van Hoornekade;135237.0;457829.0
H;50005000;;BRUGDUMMY Utrecht, Vondelbrug;136832.4;454456.4
H;50005194;;zonegrens 5000-5111;135242.7;452511.8
H;50005997;;zonegrens 5000-5915;136284.1;457746.0
H;50006170;;Utrecht, Willem Dreeslaan;136315.0;457330.0
H;50006490;utrstv;Utrecht, Stelviobaan;137480.3;453004.8
H;50006500;utrstv;Utrecht, Stelviobaan;137544.6;453073.5
H;50006541;utrlun;Utrecht, Station Lunetten (Perron C);138251.4;453094.0
H;50006810;utrsch;Utrecht, Stadsschouwburg;137296.0;456073.0
H;50006830;;Utrecht, Maliebaan;137528.5;455926.9
H;50006840;;Utrecht, Maliebaan;137528.1;455940.9
H;50006850;utrrei;Utrecht, Burg. Reigerstraat;137801.9;455695.9
H;50006860;utrrei;Utrecht, Burg. Reigerstraat;137791.8;455719.2
H;50006870;;Utrecht, Oudwijkerdwarsstraat;137657.2;455469.9
H;50006880;;Utrecht, Oudwijkerdwarsstraat;137712.9;455533.7
H;50006890;;Utrecht, Oosterstraat;137566.7;455311.9
H;50006900;;Utrecht, Oosterstraat;137567.4;455320.2
H;50006910;utrhom;Utrecht, Homeruslaan;137760.6;455296.9
H;50006920;utrhom;Utrecht, Homeruslaan;137735.6;455320.9
H;50006930;utradr;Utrecht, Adriaen van Ostadelaan;137981.5;455118.4
H;50006940;utrdia;Utrecht, Diakonessenhuis;138059.0;455020.7
H;50007410;;Utrecht, Prinsesselaan;138178.8;456280.2
H;50007420;;Utrecht, Prinsesselaan;138179.9;456306.3
H;50007430;utrros;Utrecht, Rosarium;138171.8;455930.0
H;50007440;utrros;Utrecht, Rosarium;138168.7;455938.5
H;50007450;;Utrecht, Dillenburgstraat;138329.9;455728.2
H;50007460;;Utrecht, Dillenburgstraat;138341.2;455701.7
H;50007470;utrhog;Utrecht, De Hoogstraat;138374.7;455513.9
H;50007480;utrhog;Utrecht, De Hoogstraat;138386.8;455406.4
H;50007490;;Utrecht, Prins Hendriklaan;138373.4;455398.2
H;50007500;utrhob;Utrecht, Hobbemastraat;138274.0;455202.9
H;50007510;utrhob;Utrecht, Hobbemastraat;138239.7;455182.3
H;50007520;utrdia;Utrecht, Diakonessenhuis;138126.6;455014.7
H;50008090;utrsma;Utrecht, Smaragdplein;137065.2;453873.6
H;50008100;utrsma;Utrecht, Smaragdplein;137107.7;453861.6
H;50008170;;Utrecht, Marshalllaan;134609.2;454023.0
H;50008180;;Utrecht, Marshalllaan;134616.4;454063.6
H;50008190;utrtru;Utrecht, Trumanlaan;134842.3;454000.1
H;50008200;utrtru;Utrecht, Trumanlaan;134841.5;454022.5
H;51111010;utrwes;Utrecht, P+R Westraven;135775.0;452009.0
H;51115093;;zonegrens 5111-5000;135258.1;452508.7
H;51118899;nwgrms;Nieuwegein, Remise;135440.9;451679.9
H;51119999;nwggar;Nieuwegein, Garage Remiseweg;135261.7;451566.9
H;59150150;utrmar;Utrecht, Marnixlaan;134757.3;457528.6
H;59150190;;Utrecht, Sint Maartendreef;135116.5;459481.8
H;59150201;;Utrecht, Sint Maartendreef;135124.8;459469.2
H;59150221;utrzam;Utrecht, Zamenhofdreef (Perron D);136162.2;458554.1
H;59150250;utrklo;Utrecht, Klopvaart;134973.8;459563.0
H;59150260;utrklo;Utrecht, Klopvaart;135002.0;459538.8
H;59150300;utrswe;Utrecht, Sweder van Zuylenweg;134477.6;457766.4
H;59150330;;Utrecht, Muyskenweg;134193.6;458063.5
H;59150340;;Utrecht, Muyskenweg;134141.7;458084.2
H;59150401;utrhoo;Utrecht, Van Hoornekade;135141.0;457924.0
H;59150431;;Utrecht, Burg. Van Tuyllkade;134845.0;458020.0
H;59150450;;Utrecht, De Bazelstraat;133866.2;458909.2
H;59150460;utrber;Utrecht, Prins Bernhardplein;134161.1;458590.9
H;59150480;;Utrecht, De Bazelstraat;133934.2;458809.2
H;59150500;utrsme;Utrecht, Cornelis Smeenkstraat;133667.6;459060.3
H;59150501;utrsme;Utrecht, Cornelis Smeenkstraat;133673.6;459021.3
H;59150530;utrber;Utrecht, Prins Bernhardplein;134154.5;458613.4
H;59150550;utrswe;Utrecht, Sweder van Zuylenweg;134388.4;457879.0
H;59150581;;Utrecht, Burg. Van Tuyllkade;134869.0;458003.0
H;59150600;utrbav;Utrecht, Professor Bavinckstraat;133473.6;459041.2
H;59150710;;Utrecht, Ammandreef;135391.1;459622.6
H;59150720;;Utrecht, Ammandreef;135371.4;459616.5
H;59150730;;Utrecht, Pekingdreef;135704.4;459759.6
H;59150740;;Utrecht, Pekingdreef;135651.5;459804.1
H;59150750;;Utrecht, Maniladreef;135943.0;459585.6
H;59150760;;Utrecht, Maniladreef;135943.0;459600.6
H;59150770;;Utrecht, Nijldreef;136155.1;459332.3
H;59150780;;Utrecht, Nijldreef;136157.4;459394.6
H;59150790;utrora;Utrecht, Oranjerivierdreef;136114.6;459074.5
H;59150800;utrora;Utrecht, Oranjerivierdreef;136107.5;459089.9
H;59150810;;Utrecht, Humberdreef;136272.9;458940.4
H;59150820;;Utrecht, Humberdreef;136317.2;458909.6
H;59150850;utrcha;Utrecht, De Charmantedreef (locatie ntb);136204.8;458199.6
H;59150860;utrcha;Utrecht, De Charmantedreef (locatie ntb);136222.3;458180.5
H;59151250;;Utrecht, Theemsdreef;136346.4;458755.0
H;59151260;;Utrecht, Theemsdreef;136319.7;458759.3
H;59151590;;Utrecht, Prins Bernhardlaan;134409.5;458348.8
H;59151600;;Utrecht, Prins Bernhardlaan;134437.8;458383.9
H;59151620;;Utrecht, Minister Talmastraat;133459.8;458870.6
H;59151730;utrmui;Utrecht, JM de Muinck Keizerlaan;134331.9;458922.5
H;59151760;utrmui;Utrecht, JM de Muinck Keizerlaan;134223.0;458755.0
H;59151770;utrfra;Utrecht, Franciscusdreef;134598.0;459390.0
H;59151780;utrfra;Utrecht, Franciscusdreef;134679.8;459511.8
H;59152030;utrzam;Utrecht, Zamenhofdreef (Perron C);136175.6;458529.0
H;59155097;;zonegrens 5915-5000;136263.7;457738.3
P;utrcw9;utrcsw
G;aaaaa;aaaaa;;
