C;c:\optibus\utr2021_elec.txt
V;STD20;1;UTR2020kn;1
H;40400010;;Wageningen, Westhof;173093.0;441442.0
H;40400020;;Wageningen, Hof van Gelderland;173693.0;441769.0
H;40400030;;Wageningen, Hof van Gelderland;173714.0;441770.0
H;40400040;;Wageningen, Lawickse Allee;173544.0;442102.0
H;40400050;;Wageningen, Lawickse Allee;173553.0;442120.0
H;40405000;wgnbus;Wageningen, Busstation;174216.0;442355.0
H;40500010;;Rhenen, Militaire Begraafplaats;169483.0;440729.0
H;40500020;;Rhenen, Grebbesluis;170341.0;440720.0
H;40500030;;Rhenen, Grebbesluis;170373.0;440728.0
H;40500080;wgnndo;Wageningen, Nudenoord;172699.0;441389.0
H;40500090;wgnndo;Wageningen, Nudenoord;172759.0;441400.0
H;40500100;;Wageningen, Westhof;173015.0;441436.0
H;40600020;;Rhenen, Paardenveld;166856.0;441314.0
H;40600030;;Rhenen, Paardenveld;166914.0;441211.0
H;40600040;rhesta;Rhenen, Stad;167211.0;441075.0
H;40600050;rhesta;Rhenen, Stad;167221.0;441059.0
H;40600060;rheher;Rhenen, Herenstraat;167664.0;441003.0
H;40600070;rheher;Rhenen, Herenstraat;167728.0;440989.0
H;40600100;rhestt;Rhenen, Station/Tuinlaan;168277.0;440984.0
H;40600110;rhestt;Rhenen, Station/Tuinlaan;168249.0;440971.0
H;40600120;rhezoo;Rhenen, Ouwehands Dierenpark;168983.0;440809.0
H;40600130;rhezoo;Rhenen, Ouwehands Dierenpark;169144.0;440749.0
H;40600140;;Rhenen, Militaire Begraafplaats;169470.0;440739.0
H;40800020;vndber;Veenendaal, Bergweg;165719.0;446974.0
H;40800030;vndber;Veenendaal, Bergweg;165684.0;446868.0
H;40800040;;Veenendaal, Dennenlaan;165940.0;447444.0
H;40800050;;Veenendaal, Dennenlaan;165928.0;447385.0
H;40800321;;Veenendaal, Korte Dreef;167041.0;449463.0
H;40800322;;Veenendaal, Korte Dreef;167059.0;449467.0
H;40800325;;Veenendaal, Stationsstraat;167293.0;449968.0
H;40800326;;Veenendaal, Stationsstraat;167310.0;449985.0
H;40800370;;Veenendaal, Griftweg;167552.0;450477.0
H;40800380;;Veenendaal, Griftweg;167539.0;450481.0
H;40800390;;Veenendaal, De Grote Pekken;166583.0;447859.0
H;40800400;;Veenendaal, De Grote Pekken;166570.0;447856.0
H;40800820;;Veenendaal, Zwaaiplein;166835.0;448963.0
H;40800830;;Veenendaal, Zwaaiplein;166829.0;448954.0
H;40801470;vndnsc;Veenendaal, Station Centrum/Kerkewijk;166142.0;447844.0
H;40801480;vndnsc;Veenendaal, Station Centrum/Kerkewijk;166163.0;447931.0
H;40805027;;Veenendaal, Politiebureau;166693.0;448250.0
H;40805028;;Veenendaal, Politiebureau;166691.0;448265.0
H;40806010;vndcww;Veenendaal, Centrum/Wolweg;166770.0;448594.0
H;40806020;vndcww;Veenendaal, Centrum/Wolweg;166777.0;448594.0
H;50000001;utrcsc;Utrecht, CS Centrumzijde (Perron B1);136139.0;455710.0
H;50000002;utrcsc;Utrecht, CS Centrumzijde (Perron B2);136158.0;455657.0
H;50000003;utrcsc;Utrecht, CS Centrumzijde (Perron B3);136145.0;455668.0
H;50000004;utrcsc;Utrecht, CS Centrumzijde (Perron B4);136133.0;455662.0
H;50000030;utrgra;Utrecht, Graadt van Roggenweg;135317.2;455439.7
H;50000034;;BRUGDUMMY Utrecht, David van Mollembrug;136119.4;456976.5
H;50000040;utrgra;Utrecht, Graadt van Roggenweg;135389.3;455555.8
H;50000050;utr24o;Utrecht, 24 Oktoberplein;134729.9;454843.1
H;50000060;utr24o;Utrecht, 24 Oktoberplein;134838.2;454854.5
H;50000101;utrcsw;Utrecht, CS Jaarbeurszijde NIET GEBR. (Perron D1);135921.0;455644.0
H;50000120;utrcsw;Utrecht, CS Jaarbeurszijde (Perron C1);135916.7;455701.0
H;50000121;utrcsw;Utrecht, CS Jaarbeurszijde (Perron C2);135896.8;455690.5
H;50000122;utrcsw;Utrecht, CS Jaarbeurszijde (Perron C3);135941.6;455661.8
H;50000123;utrcsw;Utrecht, CS Jaarbeurszijde (Perron C4);135927.3;455637.7
H;50000124;utrcsw;Utrecht, CS Jaarbeurszijde (Perron C5);135962.6;455628.2
H;50000125;utrcsw;Utrecht, CS Jaarbeurszijde (Perron C6);135954.2;455592.9
H;50000126;utrcsw;Utrecht, CS Jaarbeurszijde (Perron C7);135993.0;455579.9
H;50000127;utrcsw;Utrecht, CS Jaarbeurszijde (Perron C8);135965.7;455572.6
H;50000128;utrcsw;Utrecht, CS Jaarbeurszijde (Perron C9);136018.0;455537.0
H;50000129;utrcsw;Utrecht, CS Jaarbeurszijde (Perron C10);135991.6;455528.1
H;50000130;utrcw9;Utrecht, CS Jaarbeurszijde (Perron D1);135915.0;455644.3
H;50000131;utrcw9;Utrecht, CS Jaarbeurszijde (Perron D2);135921.0;455611.0
H;50000132;utrcw9;Utrecht, CS Jaarbeurszijde (Perron D3);135957.7;455575.0
H;50000133;utrcw9;Utrecht, CS Jaarbeurszijde (Perron D4);135964.8;455531.5
H;50000134;utrcw9;Utrecht, CS Jaarbeurszijde (Perron D5);135988.5;455522.6
H;50000140;utrwes;Utrecht, P+R Westraven (Perron C);135774.0;452105.0
H;50000141;utrwes;Utrecht, P+R Westraven (Perron D);135617.0;452149.0
H;50000160;utrvre;Utrecht, Daalsesingel;136069.1;456130.9
H;50000180;utrcsj;Utrecht, CS Jaarbeursplein (Perron H);135719.0;455764.0
H;50000189;;DUMMYHALTE Utrecht, .;136069.1;456130.9
H;50000190;utrvre;Utrecht, Daalsesingel;136084.2;456139.9
H;50000200;utrvul;Utrecht, Vulcanusdreef;137747.8;458515.1
H;50000201;utrcsc;Utrecht, CS Centrumzijde (Perron A2);136067.5;455811.2
H;50000202;utrcsc;Utrecht, CS Centrumzijde (Perron A1);136075.8;455800.1
H;50000203;utrcsc;Utrecht, CS Centrumzijde (Perron A4);136097.9;455748.4
H;50000204;utrcsc;Utrecht, CS Centrumzijde (Perron A3);136099.5;455758.2
H;50000210;utrcsj;Utrecht, CS Jaarbeursplein (Perron H);135723.0;455756.0
H;50000220;;Utrecht, Willem Dreeslaan;136333.0;457442.0
H;50000230;utrwin;Utrecht, Winklerlaan;137905.4;457976.3
H;50000240;;Utrecht, Winklerlaan;137842.1;457915.7
H;50000250;utrlic;Utrecht, De Lichtkring;137709.7;457692.8
H;50000260;utrlic;Utrecht, De Lichtkring;137579.4;457707.1
H;50000270;;Utrecht, Prof. Dieperinklaan;137481.0;457493.7
H;50000280;;Utrecht, Prof. Dieperinklaan;137446.1;457476.1
H;50000290;utreyk;Utrecht, Eykmanplein;137372.1;457116.8
H;50000300;utreyk;Utrecht, Eykmanplein;137360.2;457128.3
H;50000310;;Utrecht, Kleine Singel;137273.5;456674.1
H;50000320;;Utrecht, Kleine Singel;137262.1;456680.7
H;50000330;utrwib;Utrecht, Wittevrouwenbrug;137143.7;456373.5
H;50000340;utrwib;Utrecht, Wittevrouwenbrug;137127.6;456378.2
H;50000350;utrsch;Utrecht, Stadsschouwburg;137198.7;456095.6
H;50000360;utrneu;Utrecht, Neude;136540.7;456161.2
H;50000370;utrjkh;Utrecht, Janskerkhof;136879.2;456131.0
H;50000390;utrdrw;Utrecht, Draaiweg;136312.0;457048.3
H;50000400;utrdrw;Utrecht, Draaiweg;136348.0;457054.6
H;50000410;utrher;Utrecht, Herenweg;135850.4;456492.1
H;50000420;utrher;Utrecht, Herenweg;135850.7;456466.3
H;50000430;;Utrecht, Viaduct;135557.1;456762.7
H;50000440;;Utrecht, Viaduct;135630.7;456669.2
H;50000450;utrcon;Utrecht, Concordiastraat;135213.7;457083.5
